"id"	"name"	"searchterm"	"score"	"ranking"
"1"	"Intel Core i9-7980XE"	"Intel Core i9-7980XE @ 2.60GHz"	"124"	"1"
"2"	"Intel Core i9-7940X"	"Intel Core i9-7940X @ 3.10GHz"	"117"	"2"
"3"	"Intel Core i9-7900X"	"Intel Core i9-7900X @ 3.30GHz"	"114"	"3"
"4"	"Intel Core i9-7920X"	"Intel Core i9-7920X @ 2.90GHz"	"114"	"4"
"5"	"Intel Core i7-8700K"	"Intel Core i7-8700K @ 3.70GHz"	"112"	"5"
"6"	"Intel Core i9-7960X"	"Intel Core i9-7960X @ 2.80GHz"	"111"	"6"
"7"	"Intel Core i7-7820X"	"Intel Core i7-7820X @ 3.60GHz"	"108"	"7"
"8"	"AMD Ryzen TR 1950X"	"NOT FOUND"	"107"	"8"
"9"	"Intel Core i5-8600K"	"Intel Core i5-8600K @ 3.60GHz"	"105"	"9"
"10"	"Intel Core i7-8700"	"Intel Core i7-8700 @ 3.20GHz"	"105"	"10"
"11"	"Intel Core i7-6950X"	"Intel Core i7-6950X @ 3.00GHz"	"101"	"11"
"12"	"Intel Core i7-7740X"	"Intel Core i7-7740X @ 4.30GHz"	"100"	"12"
"13"	"Intel Core i7-7800X"	"Intel Core i7-7800X @ 3.50GHz"	"100"	"13"
"14"	"Intel Core i7-6900K"	"Intel Core i7-6900K @ 3.20GHz"	"99.799999999999997"	"14"
"15"	"Intel Core i7-7700K"	"Intel Core i7-7700K @ 4.20GHz"	"99.5"	"15"
"16"	"AMD Ryzen TR 1920X"	"NOT FOUND"	"98.299999999999997"	"16"
"17"	"Intel Core i5-7640X"	"Intel Core i5-7640X @ 4.00GHz"	"98.099999999999994"	"17"
"18"	"Intel Core i7-6850K"	"Intel Core i7-6850K @ 3.60GHz"	"96.799999999999997"	"18"
"19"	"Intel Core i3-8350K"	"Intel Core i3-8350K @ 4.00GHz"	"96"	"19"
"20"	"Intel Core i5-7600K"	"Intel Core i5-7600K @ 3.80GHz"	"95.900000000000006"	"20"
"21"	"AMD Ryzen TR 1900X"	"NOT FOUND"	"94.599999999999994"	"21"
"22"	"Intel Core i5-8400"	"Intel Core i5-8400 @ 2.80GHz"	"92.799999999999997"	"22"
"23"	"Intel Core i7-6700K"	"Intel Core i7-6700K @ 4.00GHz"	"91.700000000000003"	"23"
"24"	"AMD Ryzen 7 1800X"	"AMD Ryzen 7 1800X"	"91.299999999999997"	"24"
"25"	"Intel Core i7-5960X"	"Intel Core i7-5960X @ 3.00GHz"	"90.400000000000006"	"25"
